name, Voelligkeit_VSsoll, Voelligkeit_HS, LCB, Bugwulstlaenge, Voelligkeit_BW, WinkelDucktail, eval_cw, eval_CT,Anz
NeoOpt1106BW_20_des0071, 0.085159239, 0.3000144, 0.20886395, 5.8159925, 0.70025946, -7.9531192, 5.2278396e-05, 0.0017090052,71
NeoOpt1106BW_20_des0072, 0.085192648, 0.3000678, 0.20885782, 5.8160148, 0.70022541, -7.9530233, 5.2170057e-05, 0.0017089187,72
NeoOpt1106BW_20_des0073, 0.085183906, 0.30005215, 0.2088418, 5.8158888, 0.70024696, -7.9524383, 5.2316755e-05, 0.0017090596,73
NeoOpt1106BW_20_des0074, 0.085176726, 0.3000186, 0.2088445, 5.816077, 0.70015851, -7.9527782, 5.2114305e-05, 0.0017088735,74
NeoOpt1106BW_20_des0075, 0.33598397, 0.57396542, 0.27391338, 5.346492, 0.50139805, -5.3169791, 0.00014023831, 0.0019723005,75
NeoOpt1106BW_20_des0076, 0.37598397, 0.57396542, 0.27391338, 5.346492, 0.50139805, -5.3169791, 0.00015454399, 0.0019861085,76
NeoOpt1106BW_20_des0077, 0.33598397, 0.66396542, 0.27391338, 5.346492, 0.50139805, -5.3169791, 0.00013243359, 0.0020162165,77
NeoOpt1106BW_20_des0078, 0.33598397, 0.57396542, 0.29891338, 5.346492, 0.50139805, -5.3169791, 0.00015388687, 0.0019791464,78
NeoOpt1106BW_20_des0079, 0.33598397, 0.57396542, 0.27391338, 5.526492, 0.50139805, -5.3169791, 0.0001349947, 0.0019672529,79
NeoOpt1106BW_20_des0080, 0.33598397, 0.57396542, 0.27391338, 5.526492, 0.60139805, -5.3169791, 0.00013073492, 0.0019653717,80
NeoOpt1106BW_20_des0081, 0.33598397, 0.57396542, 0.27391338, 5.526492, 0.60139805, -4.3169791, 0.00013080725, 0.0020006585,81
NeoOpt1106BW_20_des0082, 0.32656703, 0.50658079, 0.27099403, 5.541988, 0.60460295, -5.9185789, 0.0001287178, 0.0019080983,82
NeoOpt1106BW_20_des0083, 0.31692372, 0.44049367, 0.2680045, 5.5578565, 0.60788488, -6.5346406, 0.00013686491, 0.0018669028,83
NeoOpt1106BW_20_des0084, 0.30739828, 0.43234283, 0.26505151, 5.5735311, 0.64021845, -7.4340893, 0.00011954644, 0.0018274212,84
NeoOpt1106BW_20_des0085, 0.29523021, 0.38486867, 0.26127927, 5.5935542, 0.68021877, -8.0929295, 0.00012323345, 0.0018001671,85
NeoOpt1106BW_20_des0086, 0.2899231, 0.38336015, 0.25963401, 5.7222043, 0.63171958, -8.5743226, 0.00012191325, 0.001794358,86
NeoOpt1106BW_20_des0087, 0.29881024, 0.38336015, 0.24843589, 5.7222043, 0.63171958, -8.5743226, 0.00011088065, 0.0017855421,87
NeoOpt1106BW_20_des0088, 0.33177583, 0.36270931, 0.25653686, 5.7235053, 0.6405859, -8.9683151, 0.00014868159, 0.0018073658,88
NeoOpt1106BW_20_des0089, 0.29690686, 0.37128265, 0.24784582, 5.6642631, 0.59843776, -8.6959195, 0.00011884579, 0.001785954,89
NeoOpt1106BW_20_des0090, 0.28168321, 0.41519243, 0.23449562, 5.6986378, 0.66150837, -9.0984975, 9.8539822e-05, 0.0017902055,90
NeoOpt1106BW_20_des0091, 0.28699995, 0.31546824, 0.23747002, 5.7660614, 0.636805, -8.2752908, 0.00011380732, 0.0017608478,91
NeoOpt1106BW_20_des0092, 0.28065367, 0.3039055, 0.22268502, 5.8193601, 0.60027502, -7.6528383, 0.00010486184, 0.0017544138,92
NeoOpt1106BW_20_des0093, 0.30386408, 0.3, 0.20751696, 5.8900631, 0.62673458, -7.9155247, 0.00010727406, 0.0017574361,93
NeoOpt1106BW_20_des0094, 0.29450351, 0.31850951, 0.22697863, 5.8033627, 0.59983279, -7.3952167, 0.00010935943, 0.0017672351,94
NeoOpt1106BW_20_des0095, 0.2630819, 0.3, 0.21074965, 5.7307154, 0.65674856, -7.5273022, 9.3462404e-05, 0.0017490678,95
NeoOpt1106BW_20_des0096, 0.2575206, 0.31349592, 0.2139924, 5.7889416, 0.68354488, -7.4051704, 8.7325992e-05, 0.001750855,96
NeoOpt1106BW_20_des0097, 0.22872118, 0.3, 0.20568525, 5.7798979, 0.64306773, -7.8846215, 8.3799932e-05, 0.0017378522,97
NeoOpt1106BW_20_des0098, 0.19741691, 0.3, 0.21187561, 5.8622008, 0.67728424, -7.8929925, 7.3925359e-05, 0.0017274651,98
NeoOpt1106BW_20_des0099, 0.18350969, 0.3, 0.20198508, 5.9743576, 0.71676185, -8.3154953, 7.0906201e-05, 0.001725079,99
NeoOpt1106BW_20_des0100, 0.14471142, 0.3, 0.20458891, 5.9734859, 0.70002045, -8.1730695, 6.3188127e-05, 0.0017192619,100
NeoOpt1106BW_20_des0101, 0.12349182, 0.3, 0.18633212, 6.0022895, 0.68293472, -8.5342964, 5.6161138e-05, 0.0017157374,101
NeoOpt1106BW_20_des0102, 0.11161793, 0.31095036, 0.19457771, 5.9376391, 0.70363773, -9.3194272, 6.0530652e-05, 0.0017234616,102
NeoOpt1106BW_20_des0103, 0.12183469, 0.33349199, 0.18379104, 5.9673915, 0.70688712, -8.4671488, 4.580013e-05, 0.0017217065,103
NeoOpt1106BW_20_des0104, 0.12645983, 0.35731532, 0.19218209, 6.0853468, 0.62834805, -8.6869076, 5.1031082e-05, 0.0017324741,104
NeoOpt1106BW_20_des0105, 0.12120713, 0.30051109, 0.18785687, 6.0679778, 0.71590041, -8.5679777, 5.4929485e-05, 0.0017151651,105
NeoOpt1106BW_20_des0106, 0.099420887, 0.3, 0.17697562, 6.0747457, 0.73685405, -7.8834665, 4.6041067e-05, 0.0017139234,106
NeoOpt1106BW_20_des0107, 0.1216228, 0.3, 0.15764533, 6.0883833, 0.76641837, -7.9138093, 4.4741777e-05, 0.0017193679,107
NeoOpt1106BW_20_des0108, 0.084757596, 0.3, 0.17921836, 6.0431268, 0.75479376, -8.0944868, 4.8891779e-05, 0.0017150934,108
NeoOpt1106BW_20_des0109, 0.096178997, 0.31042218, 0.1746841, 6.0934764, 0.72450977, -7.9732056, 4.5248591e-05, 0.0017171487,109
NeoOpt1106BW_20_des0110, 0.10128167, 0.3, 0.18608939, 6.0802353, 0.74024867, -7.5475259, 4.721378e-05, 0.0017149559,110
NeoOpt1106BW_20_des0111, 0.098170602, 0.31276551, 0.17750054, 6.1086593, 0.74295711, -7.9251944, 4.4261415e-05, 0.0017168983,111
NeoOpt1106BW_20_des0112, 0.093966352, 0.3, 0.17773591, 6.1594216, 0.73450233, -7.9763683, 4.6676181e-05, 0.0017135832,112
NeoOpt1106BW_20_des0113, 0.089842198, 0.30019625, 0.17413453, 6.1620971, 0.74120502, -7.8138895, 4.4887915e-05, 0.0017144333,113
NeoOpt1106BW_20_des0114, 0.108487, 0.3, 0.1764816, 6.1811742, 0.75758683, -8.1950194, 4.7142792e-05, 0.0017140278,114
NeoOpt1106BW_20_des0115, 0.088266357, 0.3, 0.17995145, 6.1493677, 0.74637328, -8.1072434, 4.7681049e-05, 0.0017136657,115
NeoOpt1106BW_20_des0116, 0.095849573, 0.3, 0.18342023, 6.1660173, 0.73077064, -7.8998842, 4.8639638e-05, 0.0017143191,116
NeoOpt1106BW_20_des0117, 0.097288497, 0.3, 0.17697361, 6.1640773, 0.74045411, -8.0362513, 4.6221205e-05, 0.0017131825,117
NeoOpt1106BW_20_des0118, 0.098747839, 0.3, 0.17579178, 6.1651753, 0.73605571, -8.1366872, 4.5954745e-05, 0.00171281,118
NeoOpt1106BW_20_des0119, 0.10038683, 0.3, 0.17361151, 6.1701734, 0.73873413, -8.2063431, 4.7977479e-05, 0.0017152485,119
NeoOpt1106BW_20_des0120, 0.098963271, 0.30508711, 0.17562472, 6.1606739, 0.73630099, -8.1341787, 4.7289403e-05, 0.0017161242,120
NeoOpt1106BW_20_des0121, 0.10139366, 0.3, 0.17809985, 6.1581254, 0.73310253, -8.1545795, 4.7449277e-05, 0.0017134096,121
NeoOpt1106BW_20_des0122, 0.098877856, 0.30233809, 0.17522507, 6.1559665, 0.73591516, -8.1273287, 4.6038298e-05, 0.0017137846,122
NeoOpt1106BW_20_des0123, 0.09710331, 0.3, 0.17532407, 6.1634454, 0.72493339, -8.1031948, 4.6537363e-05, 0.0017133963,123
NeoOpt1106BW_20_des0124, 0.095146608, 0.3, 0.17656602, 6.1566641, 0.73798876, -8.199543, 4.8994352e-05, 0.0017153287,124
NeoOpt1106BW_20_des0125, 0.10040173, 0.3, 0.17478783, 6.1638647, 0.73708927, -8.1160918, 4.6925474e-05, 0.0017142369,125
NeoOpt1106BW_20_des0126, 0.097932162, 0.3, 0.1758539, 6.1623359, 0.73682912, -8.1523687, 4.7287165e-05, 0.0017140438,126
NeoOpt1106BW_20_des0127, 0.099120976, 0.30019866, 0.17603948, 6.1641679, 0.7364118, -8.1398616, 4.6993257e-05, 0.0017138665,127
NeoOpt1106BW_20_des0128, 0.098494138, 0.3, 0.175765, 6.1653979, 0.73317138, -8.1266014, 4.6471887e-05, 0.0017132125,128
NeoOpt1106BW_20_des0129, 0.098628007, 0.30000035, 0.17592142, 6.1651459, 0.73657274, -8.1232144, 4.6748271e-05, 0.0017136434,129
NeoOpt1106BW_20_des0130, 0.097980664, 0.3, 0.17536272, 6.1651904, 0.73635115, -8.1541639, 4.6883135e-05, 0.0017138124,130
NeoOpt1106BW_20_des0131, 0.098857246, 0.30039143, 0.17580629, 6.1678148, 0.73605021, -8.1382267, 4.5798253e-05, 0.0017128497,131
NeoOpt1106BW_20_des0132, 0.098677267, 0.30055774, 0.17588277, 6.1655077, 0.73603044, -8.1383594, 4.6796449e-05, 0.0017138798,132
NeoOpt1106BW_20_des0133, 0.09904286, 0.3005816, 0.17551382, 6.1647309, 0.73610535, -8.1324422, 4.5891295e-05, 0.0017131119,133
NeoOpt1106BW_20_des0134, 0.098812338, 0.3, 0.17547261, 6.1663885, 0.7361391, -8.1423821, 4.7135094e-05, 0.0017140481,134
NeoOpt1106BW_20_des0135, 0.09882349, 0.3, 0.1758073, 6.165261, 0.73532932, -8.1346671, 4.7115303e-05, 0.0017139965,135
NeoOpt1106BW_20_des0136, 0.098669768, 0.3, 0.17576887, 6.1646021, 0.73607731, -8.1373383, 4.5871158e-05, 0.0017127721,136
NeoOpt1106BW_20_des0137, 0.098618582, 0.30000192, 0.17574359, 6.1647838, 0.7360483, -8.1371101, 4.6364905e-05, 0.0017132631,137
NeoOpt1106BW_20_des0138, 0.098764883, 0.3, 0.17578714, 6.1643532, 0.73630415, -8.1387569, 4.5822155e-05, 0.0017127485,138
NeoOpt1106BW_20_des0139, 0.098781107, 0.30000951, 0.17577657, 6.1643702, 0.73618956, -8.1402192, 4.6791611e-05, 0.0017136211,139
NeoOpt1106BW_20_des0140, 0.098783497, 0.3, 0.17582864, 6.1640862, 0.73631552, -8.1355829, 4.6782407e-05, 0.001713585,140
NeoOpt1106BW_20_des0141, 0.098789217, 0.30010307, 0.17575362, 6.1643359, 0.73631297, -8.1381931, 4.6761335e-05, 0.0017136517,141
